orig_idx,company,date,old_label,new_label,confidence,reasoning,changed
0,SenseTime,2023-08-28,1,0,high,"SenseTime's 2023 layoffs were part of a business overhaul driven by US sanctions and financial pressures, not AI replacing workers, even though the company is an AI firm that launched SenseNova.",True
1,Samsung,2023-03-14,0,0,high,"Samsung's March 2023 chip subsidiary layoffs were driven by the semiconductor downturn and weak demand, with no reported AI-replacement motivation.",False
2,NCSoft,2023-02-02,0,0,high,"NCSoft West's February 2023 layoffs and CEO departure were attributed to business restructuring and underperforming game titles, not AI adoption.",False
3,Tencent,2022-11-15,0,0,medium,Lenovo's July 2025 3% workforce cut was framed around cost optimization and market conditions; no credible reporting linked it specifically to AI replacing workers.,False
4,Lenovo,2022-12-08,0,0,high,"Bill.com's December 2023 15% reduction was explicitly about cost-cutting and refocusing on core business after overhiring, with no stated AI-replacement rationale.",False
5,Lenovo,2025-07-16,0,0,medium,Bill.com's October 2025 6% cut carried boilerplate language and no credible public reporting clearly linked it to AI-driven headcount reduction.,False
6,Bill.com,2023-12-05,0,0,high,"Bukalapak's August 2023 layoffs were driven by a strategic pivot away from its online marketplace business, unrelated to AI adoption.",False
7,Bill.com,2025-10-15,0,0,high,"888 Holdings' January 2024 layoffs were tied to post-merger integration following the William Hill acquisition and regulatory cost pressures, not AI.",False
8,Acast,2022-09-15,0,0,high,"Apple's April 2023 corporate retail team cuts were small and routine, with no reported connection to AI or automation strategy.",False
9,Xiaomi,2022-12-19,0,0,high,"Apple cancelled Project Titan (electric car) due to strategic and cost reasons, redirecting some staff to generative AI but the layoffs were not framed as AI replacing workers.",False
10,Bukalapak,2023-08-09,0,0,high,"Airbnb's March 2023 recruiting team cuts reflected slower hiring needs as post-pandemic growth normalized, with no AI-replacement motivation cited.",False
11,Thinkific,2022-03-29,0,0,high,"Absci's September 2023 15% reduction was driven by biotech funding pressures and a strategic refocus, not AI replacing roles.",False
12,Thinkific,2022-12-05,0,0,high,"Aurora's January 2024 3% cut was a cost-control measure as the autonomous vehicle company managed its cash runway, unrelated to AI replacing workers.",False
13,OnDeck,2020-07-08,0,0,high,"Analog Devices' December 2023 layoffs were driven by a semiconductor inventory correction and weakening demand, not AI adoption.",False
14,Enjoy,2022-06-30,0,0,high,Autodesk's February 2023 2% cut followed industry-wide tech overhiring corrections and had no stated AI-replacement rationale.,False
15,888,2024-01-11,0,1,medium,"Autodesk's February 2025 9% reduction was widely reported alongside the company's push to restructure and invest in AI capabilities, with leadership citing operational efficiency and AI-driven transformation.",True
16,Superloop,2020-08-24,0,1,medium,"Autodesk's January 2026 7% layoff was reported in the context of continued restructuring to shift investment toward AI products and cloud services, with multiple outlets linking it to AI strategy.",True
17,Apple,2023-04-03,0,0,high,"AEye's March 2023 33% cut was a survival measure for the struggling lidar startup facing commercialization challenges, not an AI-driven headcount reduction.",False
18,Apple,2024-02-27,0,0,high,"Affirm's February 2024 Pittsburgh office cuts were part of geographic restructuring and operational efficiency, with no credible AI-replacement link reported.",False
